id,commentCount,dislikeCount,hiddenSubscriberCount,likeCount,subscriberCount,videoCount,viewCount
,,,,,,,
TS-RzJOkfmc,28,0,,71,,,410
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
xB1gTiN18ZE,0,0,,4,,,75
AjK5PJf_SkA,495,65,,6648,,,506737
qvvNtQnNjhQ,3765,4361,,120416,,,11713502
,,,,,,,
,,,,,,,
,,,,,,,
-myS6lVwUsk,10,3,,44,,,2174
IkETgCz1Szc,127,4,,143,,,1309
2XAUT8G66ps,6,0,,62,,,1530
_Zq_kIbe4Lk,67,7,,293,,,8527
UCM6Jg0f1cToBYoB4nAH22Lg,239,,false,,1641,238,522367
UCNYDXu9YLWf28eTempeWAIg,9,,false,,1584,415,574646
UCjvSrwYwbozzW1XAPT9YX9A,6367,,false,,392869,386,30804070
UCxueoCGKdUAio5qhUPj4xEQ,4,,false,,117815,37,10561010
UC6sSkkemzPjmrzS0Y0V_2zw,0,,false,,5789496,609,3924736487
UCfLFTP1uTuIizynWsZq2nkQ,60747,,false,,6130969,792,1695929850
UCDlMf3zbdoWYzTwQsaD0fRA,2721,,false,,1488488,2158,603318386
UCvyTdLw8SkVmUcHYXSDEGwA,29,,false,,1764439,2191,396451933
UCV3qmB2OscBDDNYrgzNCpGw,0,,false,,211,48,37557
UCiiQtn-wuAOeUp3Q_2A5z9Q,228,,false,,206156,2571,362569646
UCEkfvGbHtngMQJ5t4wsBY0Q,1,,false,,172863,641,18267745
UCXarSAuECvnQFBb1vMcMsjQ,0,,false,,95807,569,15113294
UCvmijL-eepDVHYSJHDY3d6w,21,,false,,574175,279,148301750
UC8lh-s7G34B45KxIusJIuHQ,8,,false,,23810,30,1964347
UCrkahiSmFd6w0fmdZ95K_wA,85,,false,,68627,1541,20511255
UCOHHd4AVAgOUsGfgaXAMJdw,2396,,false,,1814011,1623,717086006
UC6tmwdnDAtG5RL2A_hAZP1g,0,,false,,17105,174,3856102
UCCuxi4g7nnN4hZhveiVmdEQ,0,,false,,98952,106,4941877
UCV5vCi3jPJdURZwAOO_FNfQ,71,,false,,24241,61,1885006
UCV4t5WRywQgags-XcvTpN9g,24,,false,,6763,19,102029
UCj_m6JZfmOpkYMo7_XLNyKg,0,,false,,1552402,188,71602432
UCV2-ln_WjIbvNG7x2Au3C9g,0,,false,,8544,192,1029764
